"","route_pattern_id","route_id","direction_id","route_pattern_name","route_pattern_time_desc","route_pattern_typicality","route_pattern_sort_order","representative_trip_id"
"1","Red-1-0","Red",0,"Alewife - Ashmont","",1,10010004,"50034658"
"2","Red-3-0","Red",0,"Alewife - Braintree","",1,10010005,"50034873"
"3","Red-1-1","Red",1,"Ashmont - Alewife","",1,10010104,"50034550"
"4","Red-3-1","Red",1,"Braintree - Alewife","",1,10010105,"50034766"
"5","Mattapan-_-0","Mattapan",0,"Ashmont - Mattapan","",1,10011000,"50232129"
"6","Mattapan-_-1","Mattapan",1,"Mattapan - Ashmont","",1,10011100,"50232127"
"7","Orange-3-0","Orange",0,"Oak Grove - Forest Hills","",1,10020000,"50040418"
"8","Orange-3-1","Orange",1,"Forest Hills - Oak Grove","",1,10020100,"50040493"
"9","Green-B-812-0","Green-B",0,"Government Center - Boston College","",1,10032000,"50347336-NoGLX"
"10","Green-B-812-1","Green-B",1,"Boston College - Government Center","",1,10032100,"50347335-NoGLX"
"11","Green-C-832-0","Green-C",0,"Government Center - Cleveland Circle","",1,10033000,"50347475-NoGLX"
"12","Green-C-832-1","Green-C",1,"Cleveland Circle - Government Center","",1,10033100,"50347476-NoGLX"
"13","Green-D-851-0","Green-D",0,"North Station - Riverside","",1,10034000,"50347783-NoGLX"
"14","Green-D-851-0_70151_70161_0","Green-D",0,"North Station - Kenmore","",4,10034099,"50294064-KenmoreRiversideNoGLX0"
"15","Green-D-851-0_70169_70161_0","Green-D",0,"North Station - Newton Highlands","",4,10034099,"50294064-NewtonHighlandsRiversideNoGLX0"
"16","Green-D-855-0_70504_70206_2","Green-D",0,"North Station - Riverside","",4,10034099,"50348105-NoGLX2"
"17","Green-D-851-1","Green-D",1,"Riverside - North Station","",1,10034100,"50347779-NoGLX"
"18","Green-D-851-1_70160_70150_2","Green-D",1,"Kenmore - North Station","",4,10034199,"50293292-KenmoreRiversideNoGLX2"
"19","Green-D-851-1_70160_70168_2","Green-D",1,"Newton Highlands - North Station","",4,10034199,"50293292-NewtonHighlandsRiversideNoGLX2"
"20","Green-D-855-1_70205_70503_0","Green-D",1,"Riverside - North Station","",4,10034199,"50348106-NoGLX0"
"21","Green-E-885-0_70504_70206_2","Green-E",0,"North Station - Heath Street","",1,10035096,"50347000-NoGLX2"
"22","Green-E-885-1_70205_70503_0","Green-E",1,"Heath Street - North Station","",1,10035196,"50346999-NoGLX0"
"23","Blue-6-0","Blue",0,"Wonderland - Bowdoin","",1,10040000,"50444970"
"24","Blue-8-0","Blue",0,"Orient Heights - Bowdoin","",3,10040004,"50445193"
"25","Blue-6-1","Blue",1,"Bowdoin - Wonderland","",1,10040100,"50445021"
"26","741-_-0","741",0,"South Station - Logan Airport Terminals","",1,10051000,"50315559"
"27","741-_-1","741",1,"Logan Airport Terminals - South Station","",1,10051100,"50315565"
"28","741-2-1","741",1,"Logan Airport Terminals - South Station (Surface Route)","Late nights only",3,10051104,"50315773"
"29","742-1-0","742",0,"South Station - Drydock Ave (AM Route)","",1,10052004,"50314679"
"30","742-_-0","742",0,"South Station - Drydock Ave (PM Route)","",2,10052005,"50314696"
"31","742-_-1","742",1,"Drydock Ave - South Station (PM Route)","",1,10052100,"50314689"
"32","742-1-1","742",1,"Drydock Ave - South Station (AM Route)","",1,10052104,"50314682"
"33","742-3-1","742",1,"Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave)","Evenings only",3,10052108,"50314883"
"34","743-_-0","743",0,"South Station - Chelsea Station","",1,10053000,"50315293"
"35","743-_-1","743",1,"Chelsea Station - South Station","",1,10053100,"50315301"
"36","743-1-1","743",1,"Chelsea Station - South Station (Surface Route)","Late nights only",3,10053104,"50315504"
"37","751-_-0","751",0,"South Station - Nubian Station","",1,10055000,"50314473"
"38","751-_-1","751",1,"Nubian Station - South Station","",1,10055100,"50314472"
"39","749-_-0","749",0,"Temple Place - Nubian Station","",1,10056000,"50313898"
"40","749-_-1","749",1,"Nubian Station - Temple Place","",1,10056100,"50313897"
"41","746-_-0","746",0,"South Station - Silver Line Way","",1,10057000,"50314922"
"42","746-_-1","746",1,"Silver Line Way - South Station","",1,10057100,"50314462"
"43","CR-Fairmount-dc5eb181-0","CR-Fairmount",0,"South Station - Readville via Fairmount","",1,20001000,"CR-500883-925"
"44","CR-Fairmount-3dfc2722-1","CR-Fairmount",1,"Readville - South Station via Fairmount","",1,20001100,"CR-500882-926"
"45","CR-Fitchburg-979a6935-0","CR-Fitchburg",0,"North Station - Wachusett","",1,20002000,"CR-503411-433"
"46","CR-Fitchburg-ce651dfc-0","CR-Fitchburg",0,"North Station - Littleton/Route 495","",2,20002001,"CR-503059-1403-LittletonWachusett0"
"47","CR-Fitchburg-008fca34-1","CR-Fitchburg",1,"Wachusett - North Station","",1,20002100,"CR-503412-432"
"48","CR-Fitchburg-472835d4-1","CR-Fitchburg",1,"Littleton/Route 495 - North Station","",2,20002101,"CR-503083-1414-LittletonWachusett2"
"49","CR-Worcester-38e2728b-0","CR-Worcester",0,"South Station - Worcester","",1,20003000,"CR-519604-537"
"50","CR-Worcester-31b7b4bc-0","CR-Worcester",0,"South Station - Framingham","",2,20003001,"CR-502240-595"
"51","CR-Worcester-1d310675-0","CR-Worcester",0,"South Station - Worcester","",2,20003002,"CR-502256-527"
"52","CR-Worcester-b38f30d8-0","CR-Worcester",0,"South Station - Worcester","",2,20003003,"CR-519610-517"
"53","CR-Worcester-c7319c64-1","CR-Worcester",1,"Worcester - South Station","",1,20003100,"CR-519360-510"
"54","CR-Worcester-b8da484f-1","CR-Worcester",1,"Worcester - South Station","",2,20003101,"CR-519362-518"
"55","CR-Worcester-74814426-1","CR-Worcester",1,"Framingham - South Station","",2,20003102,"CR-500896-592"
"56","CR-Worcester-efaae72e-1","CR-Worcester",1,"Framingham - South Station","",2,20003103,"CR-500900-596"
"57","CR-Worcester-96ddd717-1","CR-Worcester",1,"Worcester - South Station","",2,20003104,"CR-502268-506"
"58","CR-Franklin-e19b0358-0","CR-Franklin",0,"South Station - Forge Park/495 via Back Bay","",1,20004000,"CR-502194-729"
"59","CR-Franklin-f497dbd2-0","CR-Franklin",0,"South Station - Norwood Central via Back Bay","",2,20004001,"CR-502187-745"
"60","CR-Franklin-58bf35a6-0","CR-Franklin",0,"South Station - Forge Park/495 via Fairmount","",2,20004002,"CR-502192-731"
"61","CR-Franklin-dcca6140-0","CR-Franklin",0,"South Station - Forge Park/495 via Back Bay","",2,20004003,"CR-502198-725"
"62","CR-Franklin-2c9035ac-0","CR-Franklin",0,"South Station - Walpole via Back Bay","",2,20004004,"CR-502651-717"
"63","CR-Franklin-93556463-0","CR-Franklin",0,"South Station - Walpole via Back Bay","",2,20004005,"CR-502653-705"
"64","CR-Franklin-efecf2cd-1","CR-Franklin",1,"Forge Park/495 - South Station via Back Bay","",1,20004100,"CR-502193-730"
"65","CR-Franklin-0bc5279e-1","CR-Franklin",1,"Forge Park/495 - South Station via Back Bay","",2,20004101,"CR-502199-724"
"66","CR-Franklin-0e04afee-1","CR-Franklin",1,"Walpole - South Station via Back Bay","",2,20004102,"CR-502652-722"
"67","CR-Greenbush-6d652c57-0","CR-Greenbush",0,"South Station - Greenbush","",1,20005000,"CR-502275-095"
"68","CR-Greenbush-414eb5a9-1","CR-Greenbush",1,"Greenbush - South Station","",1,20005100,"CR-502276-094"
"69","CR-Haverhill-ead99721-0","CR-Haverhill",0,"North Station - Haverhill via Reading","",1,20006000,"CR-519806-217"
"70","CR-Haverhill-d8edcefc-0","CR-Haverhill",0,"North Station - Haverhill","",2,20006001,"CR-503500-217"
"71","CR-Haverhill-1ec1f271-0","CR-Haverhill",0,"North Station - Reading","",2,20006002,"CR-503380-281"
"72","CR-Haverhill-5c4518ee-1","CR-Haverhill",1,"Haverhill - North Station via Reading","",1,20006100,"CR-519848-210"
"73","CR-Haverhill-76e7e4ff-1","CR-Haverhill",1,"Haverhill - North Station","",2,20006101,"CR-503499-218"
"74","CR-Haverhill-59fe7876-1","CR-Haverhill",1,"Haverhill - North Station via Reading","",2,20006102,"CR-519975-218"
"75","CR-Haverhill-dbb78d1b-1","CR-Haverhill",1,"Reading - North Station","",2,20006103,"CR-503476-298"
"76","CR-Kingston-8edf9cf3-0","CR-Kingston",0,"South Station - Kingston","",1,20007000,"CR-502302-063"
"77","CR-Kingston-a80a8fd4-0","CR-Kingston",0,"Braintree - Kingston","",2,20007001,"CR-502301-065"
"78","CR-Kingston-5615f391-1","CR-Kingston",1,"Kingston - South Station","",1,20007100,"CR-502304-062"
"79","CR-Kingston-285ad791-1","CR-Kingston",1,"Kingston - Braintree","",2,20007101,"CR-502303-064"
"80","CR-Lowell-3b023975-0","CR-Lowell",0,"North Station - Lowell","",1,20008000,"CR-503441-341"
"81","CR-Lowell-89fe964c-1","CR-Lowell",1,"Lowell - North Station","",1,20008100,"CR-503383-312"
"82","CR-Middleborough-2507c3b4-0","CR-Middleborough",0,"South Station - Middleborough/Lakeville","",1,20009000,"CR-502151-003"
"83","CR-Middleborough-cd96ff97-1","CR-Middleborough",1,"Middleborough/Lakeville - South Station","",1,20009100,"CR-502142-002"
"84","CR-Needham-8ca06f5a-0","CR-Needham",0,"South Station - Needham Heights","",1,20010000,"CR-500836-613"
"85","CR-Needham-ba733d01-0","CR-Needham",0,"Forest Hills - Needham Heights","",2,20010001,"CR-502224-633"
"86","CR-Needham-31ea698c-1","CR-Needham",1,"Needham Heights - South Station","",1,20010100,"CR-500837-616"
"87","CR-Newburyport-76fa2c91-0","CR-Newburyport",0,"North Station - Newburyport","",1,20011000,"CR-503368-145-MRRockport"
"88","CR-Newburyport-adde8a7c-0","CR-Newburyport",0,"North Station - Manchester","",1,20011001,"CR-503645-105-MRRockport"
"89","CR-Newburyport-23488827-0","CR-Newburyport",0,"North Station - Beverly","",2,20011003,"CR-503404-197-MRRockport"
"90","CR-Newburyport-d340fe35-0","CR-Newburyport",0,"Salem - Newburyport","",2,20011006,"CR-503363-167-MRRockport"
"91","CR-Newburyport-cb740ab0-0","CR-Newburyport",0,"North Station - West Gloucester","",2,20011007,"CR-503658-117-MRRockport"
"92","CR-Newburyport-98fe3d94-0","CR-Newburyport",0,"North Station - Beverly","",2,20011008,"CR-503642-103-MRRockport"
"93","CR-Newburyport-41467013-0","CR-Newburyport",0,"North Station - Newburyport","",2,20011009,"CR-503365-141-MRRockport"
"94","CR-Newburyport-4444b78b-0","CR-Newburyport",0,"North Station - Manchester","",2,20011010,"CR-503633-125-MRRockport"
"95","CR-Newburyport-173cb7ae-1","CR-Newburyport",1,"West Gloucester - North Station","",1,20011100,"CR-503640-106-MRRockport"
"96","CR-Newburyport-ff47d622-1","CR-Newburyport",1,"Newburyport - North Station","",1,20011101,"CR-503367-150-MRRockport"
"97","CR-Newburyport-6c947f8b-1","CR-Newburyport",1,"Beverly - North Station","",2,20011102,"CR-503408-192-MRRockport"
"98","CR-Newburyport-bcb24456-1","CR-Newburyport",1,"West Gloucester - North Station","",2,20011104,"CR-503632-100-MRRockport"
"99","CR-Newburyport-752605f8-1","CR-Newburyport",1,"Newburyport - North Station","",2,20011105,"CR-503364-140-MRRockport"
"100","CR-Newburyport-f0909b4e-1","CR-Newburyport",1,"Beverly - North Station","",2,20011106,"CR-503405-198-MRRockport"
"101","CR-Providence-d29e0167-0","CR-Providence",0,"South Station - Stoughton","",1,20012000,"CR-500852-877"
"102","CR-Providence-55a1868e-0","CR-Providence",0,"South Station - Wickford Junction","",1,20012001,"CR-500858-803"
"103","CR-Providence-cfcbef70-0","CR-Providence",0,"South Station - Providence","",2,20012002,"CR-501048-813"
"104","CR-Providence-cb091089-0","CR-Providence",0,"South Station - Wickford Junction","",2,20012003,"CR-500872-809"
"105","CR-Providence-f8bf5f7f-0","CR-Providence",0,"South Station - Providence","",2,20012004,"CR-500912-811"
"106","CR-Providence-c8a4ba7c-0","CR-Providence",0,"South Station - Stoughton","",2,20012005,"CR-500915-865"
"107","CR-Providence-d01bc229-0","CR-Providence",0,"South Station - Providence","",2,20012006,"CR-501071-839"
"108","CR-Providence-7eca5500-0","CR-Providence",0,"South Station - Wickford Junction","",2,20012007,"CR-502167-827"
"109","CR-Providence-cc900769-1","CR-Providence",1,"Stoughton - South Station","",1,20012100,"CR-500855-878"
